nombre,zona,nota_general,resena_texto
Breogán Cocina Gallega,Casco Antiguo / Borne,4.9,"Una experiencia muy agradable en el restaurante Breogán. Comimos almejas, pulpo y de postre la tarta de queso fue el broche perfecto a la comida. Excelente servicio."
Sumaq Peruano,Santa Catalina,4.8,"El mejor restaurante peruano de la isla. El tiradito y las causas son una delicia, producto fresquísimo. Guardamos espacio para el postre y el pastel de tres leches estaba correcto pero podría mejorar."
Fera Palma Restaurant,Casco Antiguo / Borne,4.8,"Un lugar increíble con un jardín de de sueño! El servicio fue impecable y el chef merece varias estrellas Michelin. Te lleva a un viaje culinario inolvidable, creando sabores y combinaciones únicas. La tarta de queso caliente es espectacular."
Urbe Blanquerna,Blanquerna / Via Alemania,4.8,Comida moderna de muchísima calidad en un ambiente fantástico. Los tacos de algas con guacamole y el ceviche son de otro nivel. Los postres se quedan un poco cortos en variedad y sabor comparados con los platazos principales.
Vandal Palma,Santa Catalina,4.7,"Una experiencia gastronómica brutal. Los platos son súper creativos y llenos de sabor, cocina de autor en estado puro. Sin embargo, el postre de chocolate nos pareció un poco pesado y empalagoso. El servicio excelente."
Nuru Restaurant,Santa Catalina,4.7,"Sitio precioso y elegante. Los platos principales de carne y pescado espectaculares, cocinados a la perfección. La tarta de queso de postre estaba rica pero muy estándar para el precio que tiene."
El Camino,Casco Antiguo / Borne,4.7,"Mucha publicidad, pero cumple con las expectativas. La comida es increíble (no dejes de probar la flor de calabacín rellena de queso), el ambiente en el bar es genial y la tarta de queso es perfecta."
La Despensa del Barón,Casco Antiguo / Borne,4.7,"Una joya escondida en Palma. Estética e interior preciosos. Servicio impecable y comida y vino deliciosos. El brownie, el tiramisú y la tarta de queso estaban increíbles."
Duke Restaurant,Santa Catalina,4.6,"Espectacular comida fusión en Santa Catalina. El ceviche y los curries están riquísimos. De postre pedimos el tiramisú pero estaba un poco seco, no estuvo a la altura del resto de la cena. El ambiente es genial."
Naan Street Food,Santa Catalina,4.6,"Comida callejera de muchísima calidad. Los tacos y las brochetas están de locos. De postre pedimos un brownie pero estaba un poco seco, los helados artesanales le vendrían mil veces mejor a su carta."
Restaurante Casa Maruka,Casco Antiguo / Borne,4.6,"Fue una experiencia increíble! La comida exquisita, platos con mucho sabor pero no salados. No somos de Mallorca, pero cuando volvamos reservaremos seguro. La tarta de queso espectacular."
La Cuadra del Maño,Casco Antiguo / Borne,4.6,"Muy buen restaurante! Su carne es de buena calidad y a buen precio. Su salsa chimichurri es adictiva y la tarta de queso es perfecta. Nos han tratado muy bien, muy amables y cercanos."
FERVOR Palma,Casco Antiguo / Borne,4.6,Probé la paella de marisco y estaba riquísima. El personal fue muy amable y atento. Los postres caseros espectaculares.
El Ambigú,Casco Antiguo / Borne,4.6,Excelente restaurante; los platos estaban deliciosos y con una presentación impecable. El postre de tiramisú y las croquetas gourmet buenísimas.
Wine & Food Restaurant,Blanquerna / Via Alemania,4.6,"Un restaurante que es una parada obligatoria en el centro. Comida espectacular con excelente calidad y detalle en la presentación de los platos. El entrecot y las tapas buenísimas, pero la tarta de queso de postre nos pareció muy normalita, un poco industrial. El servicio amable."
Bros Restaurant,Santa Catalina,4.5,"Buen sitio en Santa Catalina para cenar con amigos. Las tapas y raciones son abundantes y sabrosas. La tarta de chocolate de postre estaba un poco industrial, preferiría algo más casero o artesanal."
La Vieja de Jonay Hernandez,Casco Antiguo / Borne,4.5,"Espectacular experiencia. Nos sentamos en una mesa alta junto a la barra desde donde se podía observar el trabajo de cocina y el emplatado. Las papas, el tartar y el pulpo increíbles. El postre de piña es sumamente recomendable."
Patrón Lunares,Santa Catalina,4.4,"Local con mucho encanto e historia marinera. El arroz ciego y el pescado frito riquísimos. El servicio un poco lento. Los postres normales, la tarta de queso correcta sin más."
OMBU Paseo del Borne,Casco Antiguo / Borne,4.4,"¡Siempre tenemos una experiencia excelente en este restaurante! Aunque hay muchas opciones interesantes de tapas, también recomendamos dejar espacio para el postre."
Blat al Sac,Blanquerna / Via Alemania,4.4,"Estupendo sitio en Blanquerna para picar algo. Los huevos rotos con jamón y las cocas están deliciosas. El ambiente es muy agradable. De postre pedimos tarta de chocolate pero el bizcocho estaba bastante seco, le falta cremosidad."
Restaurante Casa Julio,Casco Antiguo / Borne,4.3,"Casa Julio se queda en mis favoritos para comer bien y a buen precio. Si buscas comida tradicional y casera en el centro de Palma, muy recomendable. La comida está rica, las raciones están bien y la tarta de queso es perfecta."
ROMANTIME Sushi,Blanquerna / Via Alemania,4.3,"Uno de los mejores locales de sushi del centro de Palma, la relación calidad-precio es inigualable. El pescado fresquísimo. Sin embargo, no tienen apenas opciones de postres dulces en la carta, te quedas con ganas de más al final."
EL TAPEO ANDALUZ 2,Blanquerna / Via Alemania,3.8,"Sitio correcto en Blanquerna para salir del paso. Raciones abundantes, los calabacines rellenos ricos. El servicio muy atento. Los postres bastante mejorables, el flan parecía de supermercado."
